X,Y,Z
7.35775,-1.74453,-0.112522
7.35775,-1.75761,-0.112522
7.35775,-1.77069,-0.112522
7.35775,-1.78377,-0.112522
7.40175,1.92897,-0.126792
7.40175,1.91581,-0.126792
7.40175,1.90265,-0.126792
7.40075,1.88925,-0.126765
7.40075,1.87609,-0.126765
7.45075,1.87529,-0.128117
7.49375,1.87259,-0.129281
7.44675,-1.72697,-0.128009
7.38975,-1.72622,-0.126467
7.35775,-1.73145,-0.125601
7.35775,-1.74453,-0.125601
7.35775,-1.75761,-0.125601
7.35775,-1.77069,-0.125601
7.35775,-1.78377,-0.125601
7.40175,1.92897,-0.13995
7.40175,1.91581,-0.13995
7.40175,1.90265,-0.13995
7.40075,1.88925,-0.139922
7.40075,1.87609,-0.139922
7.45075,1.87529,-0.141365
7.49375,1.87259,-0.142606
7.44675,-1.72697,-0.141249
7.38975,-1.72622,-0.139604
7.35775,-1.73145,-0.138681
7.35775,-1.74453,-0.138681
7.35775,-1.75761,-0.138681
7.35775,-1.77069,-0.138681
7.35775,-1.78377,-0.138681
7.40175,1.92897,-0.153109
7.40175,1.91581,-0.153109
7.40175,1.90265,-0.153109
7.40075,1.88925,-0.153079
7.40075,1.87609,-0.153079
7.45075,1.87529,-0.154612
7.49375,1.87259,-0.15593
7.44675,-1.72697,-0.154489
7.38975,-1.72622,-0.152741
7.35775,-1.73145,-0.15176
7.35775,-1.74453,-0.15176
7.35775,-1.75761,-0.15176
7.35775,-1.77069,-0.15176
7.35775,-1.78377,-0.15176
7.40175,1.92897,-0.166268
7.40175,1.91581,-0.166268
7.40175,1.90265,-0.166268
7.40075,1.88925,-0.166236
7.40075,1.87609,-0.166236
7.45075,1.87529,-0.167859
7.49375,1.87259,-0.169255
7.44675,-1.72697,-0.167729
7.38975,-1.72622,-0.165878
7.35775,-1.73145,-0.164839
7.35775,-1.74453,-0.164839
7.35775,-1.75761,-0.164839
7.35775,-1.77069,-0.164839
7.35775,-1.78377,-0.164839
7.40175,1.92897,-0.179427
7.40175,1.91581,-0.179427
7.40175,1.90265,-0.179427
7.40075,1.88925,-0.179393
7.40075,1.87609,-0.179393
7.45075,1.87529,-0.181106
7.49375,1.87259,-0.18258
7.44675,-1.72697,-0.180969
7.38975,-1.72622,-0.179016
7.35775,-1.73145,-0.177919
7.35775,-1.74453,-0.177919
7.35775,-1.75761,-0.177919
7.35775,-1.77069,-0.177919
7.35775,-1.78377,-0.177919
7.40175,1.92897,-0.192586
7.40175,1.91581,-0.192586
7.40175,1.90265,-0.192586
7.40075,1.88925,-0.19255
7.40075,1.87609,-0.19255
7.45075,1.87529,-0.194353
7.49375,1.87259,-0.195905
7.44675,-1.72697,-0.194209
7.38975,-1.72622,-0.192153
7.35775,-1.73145,-0.190998
7.35775,-1.74453,-0.190998
7.35775,-1.75761,-0.190998
7.35775,-1.77069,-0.190998
7.35775,-1.78377,-0.190998
7.40175,1.92897,-0.205744
7.40175,1.91581,-0.205744
7.40175,1.90265,-0.205744
7.40075,1.88925,-0.205706
7.40075,1.87609,-0.205706
7.45075,1.87529,-0.207601
7.49375,1.87259,-0.209229
7.44675,-1.72697,-0.207449
7.38975,-1.72622,-0.20529
7.35775,-1.73145,-0.204078
7.35775,-1.74453,-0.204078
7.35775,-1.75761,-0.204078
7.35775,-1.77069,-0.204078
7.35775,-1.78377,-0.204078
7.40175,1.92897,-0.218903
7.40175,1.91581,-0.218903
7.40175,1.90265,-0.218903
7.40075,1.88925,-0.218863
7.40075,1.87609,-0.218863
7.45075,1.87529,-0.220848
7.49375,1.87259,-0.222554
7.44675,-1.72697,-0.220689
7.38975,-1.72622,-0.218427
7.35775,-1.73145,-0.217157
7.35775,-1.74453,-0.217157
7.35775,-1.75761,-0.217157
7.35775,-1.77069,-0.217157
7.35775,-1.78377,-0.217157
7.40175,1.92897,-0.232062
7.40175,1.91581,-0.232062
7.40175,1.90265,-0.232062
7.40075,1.88925,-0.23202
7.40075,1.87609,-0.23202
7.45075,1.87529,-0.234095
7.49375,1.87259,-0.235879
7.44675,-1.72697,-0.233929
7.38975,-1.72622,-0.231564
7.35775,-1.73145,-0.230237
7.35775,-1.74453,-0.230237
7.35775,-1.75761,-0.230237
7.35775,-1.77069,-0.230237
7.35775,-1.78377,-0.230237
7.40175,1.92897,-0.245221
7.40175,1.91581,-0.245221
7.40175,1.90265,-0.245221
7.40075,1.88925,-0.245177
7.40075,1.87609,-0.245177
7.45075,1.87529,-0.247342
7.49375,1.87259,-0.249204
7.44675,-1.72697,-0.247169
7.38975,-1.72622,-0.244701
7.35775,-1.73145,-0.243316
7.35775,-1.74453,-0.243316
7.35775,-1.75761,-0.243316
7.35775,-1.77069,-0.243316
7.35775,-1.78377,-0.243316
7.40175,1.92897,-0.25838
7.40175,1.91581,-0.25838
7.40175,1.90265,-0.25838
7.40075,1.88925,-0.258334
7.40075,1.87609,-0.258334
7.45075,1.87529,-0.260589
7.49375,1.87259,-0.262528
7.44675,-1.72697,-0.260409
7.38975,-1.72622,-0.257838
7.35775,-1.73145,-0.256395
7.35775,-1.74453,-0.256395
7.35775,-1.75761,-0.256395
7.35775,-1.77069,-0.256395
7.35775,-1.78377,-0.256395
7.40175,1.92897,-0.271538
7.40175,1.91581,-0.271538
7.40175,1.90265,-0.271538
7.40075,1.88925,-0.271491
7.40075,1.87609,-0.271491
7.45075,1.87529,-0.273836
7.49375,1.87259,-0.275853
7.44675,-1.72697,-0.273649
7.38975,-1.72622,-0.270976
7.35775,-1.73145,-0.269475
7.35775,-1.74453,-0.269475
7.35775,-1.75761,-0.269475
7.35775,-1.77069,-0.269475
7.35775,-1.78377,-0.269475
7.40175,1.92897,-0.284697
7.40175,1.91581,-0.284697
7.40175,1.90265,-0.284697
7.40075,1.88925,-0.284648
7.40075,1.87609,-0.284648
7.45075,1.87529,-0.287084
7.49375,1.87259,-0.289178
7.44675,-1.72697,-0.286889
7.38975,-1.72622,-0.284113
7.35775,-1.73145,-0.282554
7.35775,-1.74453,-0.282554
7.35775,-1.75761,-0.282554
7.35775,-1.77069,-0.282554
7.35775,-1.78377,-0.282554
7.40175,1.92897,-0.297856
7.40175,1.91581,-0.297856
7.40175,1.90265,-0.297856
7.40075,1.88925,-0.297805
7.40075,1.87609,-0.297805
7.45075,1.87529,-0.300331
7.49375,1.87259,-0.302502
7.44675,-1.72697,-0.300129
7.38975,-1.72622,-0.29725
7.35775,-1.73145,-0.295634
7.35775,-1.74453,-0.295634
7.35775,-1.75761,-0.295634
7.35775,-1.77069,-0.295634
7.35775,-1.78377,-0.295634
7.40175,1.92897,-0.311015
